Dataset is copied to /tmp
Epoch: [0]  [  600/15000]  eta: 0:47:26  lr: 0.003007  loss: 0.3114 (0.6746)  loss_classifier: 0.1622 (0.4495)  loss_box_reg: 0.1050 (0.0993)  loss_objectness: 0.0208 (0.0984)  loss_rpn_box_reg: 0.0145 (0.0274)  time: 0.1951  data: 0.0051  max mem: 4119
Epoch: [0]  [  610/15000]  eta: 0:47:20  lr: 0.003057  loss: 0.2669 (0.6682)  loss_classifier: 0.1354 (0.4447)  loss_box_reg: 0.0896 (0.0993)  loss_objectness: 0.0222 (0.0972)  loss_rpn_box_reg: 0.0108 (0.0271)  time: 0.1873  data: 0.0050  max mem: 4119
Epoch: [0]  [  620/15000]  eta: 0:47:15  lr: 0.003107  loss: 0.2825 (0.6655)  loss_classifier: 0.1481 (0.4419)  loss_box_reg: 0.0897 (0.1002)  loss_objectness: 0.0222 (0.0963)  loss_rpn_box_reg: 0.0107 (0.0270)  time: 0.1826  data: 0.0050  max mem: 4119
Epoch: [0]  [  630/15000]  eta: 0:47:14  lr: 0.003157  loss: 0.2912 (0.6646)  loss_classifier: 0.1608 (0.4404)  loss_box_reg: 0.0909 (0.1017)  loss_objectness: 0.0231 (0.0955)  loss_rpn_box_reg: 0.0141 (0.0270)  time: 0.1929  data: 0.0051  max mem: 4119
Epoch: [0]  [  640/15000]  eta: 0:47:09  lr: 0.003207  loss: 0.2912 (0.6602)  loss_classifier: 0.1789 (0.4367)  loss_box_reg: 0.0928 (0.1020)  loss_objectness: 0.0210 (0.0945)  loss_rpn_box_reg: 0.0127 (0.0269)  time: 0.1924  data: 0.0053  max mem: 4119
Epoch: [0]  [  650/15000]  eta: 0:47:08  lr: 0.003257  loss: 0.2993 (0.6557)  loss_classifier: 0.1576 (0.4331)  loss_box_reg: 0.0954 (0.1023)  loss_objectness: 0.0258 (0.0935)  loss_rpn_box_reg: 0.0132 (0.0268)  time: 0.1922  data: 0.0052  max mem: 4119
Epoch: [0]  [  660/15000]  eta: 0:47:03  lr: 0.003307  loss: 0.3236 (0.6517)  loss_classifier: 0.1805 (0.4297)  loss_box_reg: 0.1053 (0.1027)  loss_objectness: 0.0273 (0.0925)  loss_rpn_box_reg: 0.0131 (0.0268)  time: 0.1939  data: 0.0050  max mem: 4119
Epoch: [0]  [  670/15000]  eta: 0:47:00  lr: 0.003357  loss: 0.3236 (0.6478)  loss_classifier: 0.1825 (0.4266)  loss_box_reg: 0.0945 (0.1029)  loss_objectness: 0.0267 (0.0916)  loss_rpn_box_reg: 0.0106 (0.0267)  time: 0.1892  data: 0.0052  max mem: 4119
Epoch: [0]  [  680/15000]  eta: 0:46:58  lr: 0.003407  loss: 0.2592 (0.6431)  loss_classifier: 0.1496 (0.4228)  loss_box_reg: 0.0782 (0.1028)  loss_objectness: 0.0267 (0.0908)  loss_rpn_box_reg: 0.0195 (0.0268)  time: 0.1928  data: 0.0052  max mem: 4119
Epoch: [0]  [  690/15000]  eta: 0:46:56  lr: 0.003457  loss: 0.2905 (0.6409)  loss_classifier: 0.1436 (0.4201)  loss_box_reg: 0.0728 (0.1028)  loss_objectness: 0.0289 (0.0909)  loss_rpn_box_reg: 0.0301 (0.0271)  time: 0.1945  data: 0.0051  max mem: 4119
Epoch: [0]  [  700/15000]  eta: 0:46:51  lr: 0.003506  loss: 0.3433 (0.6370)  loss_classifier: 0.1690 (0.4167)  loss_box_reg: 0.0909 (0.1027)  loss_objectness: 0.0360 (0.0904)  loss_rpn_box_reg: 0.0270 (0.0273)  time: 0.1909  data: 0.0050  max mem: 4119
Epoch: [0]  [  710/15000]  eta: 0:46:47  lr: 0.003556  loss: 0.2569 (0.6315)  loss_classifier: 0.1224 (0.4125)  loss_box_reg: 0.0644 (0.1021)  loss_objectness: 0.0348 (0.0896)  loss_rpn_box_reg: 0.0219 (0.0272)  time: 0.1852  data: 0.0050  max mem: 4119
Epoch: [0]  [  720/15000]  eta: 0:46:43  lr: 0.003606  loss: 0.2630 (0.6277)  loss_classifier: 0.1224 (0.4093)  loss_box_reg: 0.0753 (0.1023)  loss_objectness: 0.0280 (0.0887)  loss_rpn_box_reg: 0.0216 (0.0273)  time: 0.1867  data: 0.0051  max mem: 4119
Epoch: [0]  [  730/15000]  eta: 0:46:40  lr: 0.003656  loss: 0.3537 (0.6258)  loss_classifier: 0.1942 (0.4074)  loss_box_reg: 0.1255 (0.1031)  loss_objectness: 0.0237 (0.0880)  loss_rpn_box_reg: 0.0127 (0.0272)  time: 0.1875  data: 0.0053  max mem: 4119
Epoch: [0]  [  740/15000]  eta: 0:46:34  lr: 0.003706  loss: 0.3593 (0.6225)  loss_classifier: 0.1693 (0.4045)  loss_box_reg: 0.1243 (0.1033)  loss_objectness: 0.0295 (0.0875)  loss_rpn_box_reg: 0.0131 (0.0271)  time: 0.1827  data: 0.0052  max mem: 4119
Epoch: [0]  [  750/15000]  eta: 0:46:32  lr: 0.003756  loss: 0.3036 (0.6192)  loss_classifier: 0.1593 (0.4017)  loss_box_reg: 0.0991 (0.1034)  loss_objectness: 0.0328 (0.0869)  loss_rpn_box_reg: 0.0136 (0.0271)  time: 0.1859  data: 0.0051  max mem: 4119
Epoch: [0]  [  760/15000]  eta: 0:46:28  lr: 0.003806  loss: 0.3163 (0.6172)  loss_classifier: 0.1738 (0.4000)  loss_box_reg: 0.1023 (0.1039)  loss_objectness: 0.0279 (0.0863)  loss_rpn_box_reg: 0.0190 (0.0271)  time: 0.1910  data: 0.0051  max mem: 4119
